fakhouz	famly   	foulad
31604.00	3307.00	4980.00
31363.00	3177.00	4795.00
31205.00	3064.00	4785.00
31062.00	2953.00	4899.00
31091.00	2985.00	4979.00
32215.00	3011.00	5102.00
32215.00	3108.00	5297.00
32215.00	3196.00	5337.00
32215.00	3133.00	5159.00
27215.00	3170.00	5113.00
27215.00	3263.00	5283.00
29618.00	3222.00	5209.00
30644.00	3112.00	5160.00
30661.00	3072.00	5103.00
31207.00	3125.00	5155.00
31053.00	3092.00	5074.00
31008.00	3041.00	4990.00
30739.00	3025.00	4989.00
30873.00	3011.00	4999.00
30893.00	2996.00	4999.00
31458.00	3007.00	4999.00
31417.00	3002.00	4999.00
32642.00	3004.00	4349.00
32642.00	3016.00	4349.00
32642.00	3129.00	4349.00
32642.00	3172.00	3233.00
35987.00	3116.00	3590.00
37240.00	3196.00	3712.00
38440.00	3210.00	3860.00
37616.00	3333.00	3937.00
37224.00	3451.00	3842.00
37142.00	3465.00	3807.00
37254.00	3477.00	3880.00
38633.00	3506.00	3855.00
38587.00	3646.00	3866.00
38522.00	3758.00	3822.00
37690.00	3725.00	3755.00
37538.00	3735.00	3732.00
37546.00	3872.00	3707.00
37507.00	3852.00	3686.00
37495.00	3863.00	3690.00
37356.00	3726.00	3676.00
37325.00	3796.00	3659.00
37229.00	3735.00	3648.00
37105.00	3668.00	3625.00
37089.00	3598.00	3593.00
37007.00	3546.00	3549.00
36529.00	3407.00	3408.00
36553.00	3408.00	3482.00
36649.00	3467.00	3570.00
36646.00	3573.00	3595.00
36472.00	3434.00	3567.00
36382.00	3299.00	3487.00
36355.00	3323.00	3460.00
36357.00	3333.00	3472.00
36858.00	3451.00	3510.00
36891.00	3522.00	3650.00
36918.00	3648.00	3644.00
36929.00	3659.00	3667.00
36938.00	3612.00	3650.00
36948.00	3627.00	3654.00
36977.00	3714.00	3686.00
38110.00	3857.00	3704.00
38717.00	3746.00	3681.00
39174.00	3839.00	3696.00
39167.00	3838.00	3696.00
39167.00	3842.00	3695.00
39291.00	3908.00	3705.00
39313.00	3922.00	3710.00
39591.00	3925.00	3834.00
40804.00	3984.00	3936.00
42315.00	3906.00	3936.00
42932.00	3844.00	3928.00
44381.00	3798.00	3953.00
43543.00	3772.00	3946.00
43246.00	3796.00	3921.00
43254.00	3867.00	3913.00
43666.00	3906.00	4069.00
44894.00	4019.00	4224.00
45053.00	3915.00	4317.00
45454.00	3916.00	4481.00
46303.00	4069.00	4655.00
46488.00	4048.00	4556.00
46676.00	4138.00	4697.00
46755.00	4116.00	4592.00
47192.00	4078.00	4580.00
47223.00	3999.00	4639.00
46965.00	3944.00	4485.00
46880.00	3907.00	4490.00
46604.00	3872.00	4482.00
46560.00	3836.00	4483.00
45566.00	3833.00	4461.00
45146.00	3857.00	4407.00
44970.00	3843.00	4389.00
44869.00	3841.00	4390.00
44847.00	3851.00	4388.00
44602.00	3828.00	4369.00
44527.00	3811.00	4267.00
44193.00	3790.00	4216.00
44031.00	3776.00	4232.00
